GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_15,*NC3CN(*)C3,CCO*,12,5,14,101,0.161 ,YES
GPSub_15,*NC3CN(*)C3,CC(ON=*)*,0,0,73,0,0.285 ,YES
GPSub_15,*NC3CN(*)C3,CC1C(NC(=O)*)C(=O)N1*,45,0,0,0,0.310 ,YES
GPSub_1,CCN(CC)CCO*,*C(=O)C(C)(*)N,40,117,12,7,0.155 ,YES
GPSub_1,CCN(CC)CCO*,*C(=O)C(NC)*,206,454,40,28,0.173 ,YES
GPSub_7,*N(CCNC(C)C)*,*C(C)O,40,30,32,136,0.162 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*C(C)O,151,73,108,165,0.200 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*CC(C)O,306,36,207,290,0.238 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*CCCNC(=O)*,712,154,106,484,0.118 ,YES
GPSub_14,CN(C)C(=O)CNCC*,CCCCC(N*)*,283,0,85,90,0.155 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*C(C*)C(=O)NCC(=O)N,647,130,122,478,0.119 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*NC(*)C(=O)NCC(=O)N,779,144,134,612,0.101 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*C(=O)NC(*)C(=O)NCC(=O)N,518,204,0,423,0.113 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*N(C)C(=O)C(NC(=O)*)*,302,58,40,214,0.177 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*N(C)C(=O)C(NC(=O)C(NC)*)*,456,76,100,252,0.177 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*C(=*)NC(*)C(=O)NCC(=O)N,533,204,0,423,0.144 ,YES
GPSub_14,CN(C)C(=O)CNCC*,*N(C)C(=O)C(NC(=O)C(*)*)*,380,14,92,162,0.187 ,YES
GPSub_21,*CC(=N)*,CCCC(=O)*,15,1,43,17,0.261 ,YES
GPSub_21,*CC(=N)*,*C(C)(C)C,7,0,34,19,0.219 ,YES
GPSub_21,*CC(=N)*,CCCC(=*)*,62,2,52,17,0.239 ,YES
GPSub_21,*CC(=N)*,CC(ON=*)*,81,0,0,0,0.179 ,YES
GPSub_2,CCN(C*)CCO*,*c1ccccc1,0,130,244,186,0.259 ,YES
GPSub_2,CCN(C*)CCO*,*C(=O)C(NC)*,226,482,40,28,0.134 ,YES
GPSub_16,*C(=O)NC3CN(*)C3,CCO*,14,3,93,22,0.183 ,YES
GPSub_16,*C(=O)NC3CN(*)C3,CC(ON=*)*,0,0,73,0,0.301 ,YES
GPSub_16,*C(=O)NC3CN(*)C3,CC1C(NC(=O)*)C(=O)N1*,45,0,0,0,0.325 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*CC(C)C,308,329,277,781,0.107 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(C)O,121,117,126,193,0.218 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*c1cccnc1,0,6,11,67,0.288 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)C(NC)C(C)C,187,4,50,136,0.090 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(NC(=O)*)C(C)C,165,4,30,106,0.095 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)C(NC(=O)*)C(C)C,130,4,30,106,0.120 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)C(*)C(C)C,119,39,16,126,0.088 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)C(NC)C(C)*,409,16,78,226,0.130 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*C(=O)C(NC(=O)*)C(C)*,261,16,46,166,0.157 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*N(C)C(=O)C(NC(=O)*)*,331,28,70,214,0.136 ,YES
GPSub_12,CN(*)C(=O)CNCC*,*N(C)C(=O)C(NC(=O)C(*)*)*,378,44,52,202,0.138 ,YES
GPSub_20,*Cn1cc(*)c(=O)cc1*,*Cc2ccc(*)cc2,38,4,3,0,0.220 ,YES
GPSub_10,*NCCNCCO,CCO*,512,78,59,340,0.107 ,YES
GPSub_10,*NCCNCCO,*c2ccccc2,0,286,498,1023,0.249 ,YES
GPSub_10,*NCCNCCO,CCCCC*,1157,769,716,1364,0.099 ,YES
GPSub_10,*NCCNCCO,CN(C)CCN(C)*,223,0,16,62,0.123 ,YES
GPSub_10,*NCCNCCO,*CCCCO*,180,21,27,211,0.149 ,YES
GPSub_10,*NCCNCCO,*CCCN(C)*,869,42,115,331,0.094 ,YES
GPSub_10,*NCCNCCO,CN(*)CCN(C)*,225,0,16,62,0.129 ,YES
GPSub_10,*NCCNCCO,CCCCC(N*)*,498,9,89,161,0.083 ,YES
GPSub_10,*NCCNCCO,*CCN(C*)CC(=O)N*,762,33,83,201,0.116 ,YES
GPSub_10,*NCCNCCO,*CCN(*)CC(=O)N*,721,8,156,219,0.139 ,YES
GPSub_10,*NCCNCCO,*CCN(C*)CC(=*)N*,797,33,83,201,0.138 ,YES
GPSub_14,*NCCN4CCCC4,*CC(C)O,74,14,101,78,0.241 ,YES
GPSub_14,*NCCN4CCCC4,*C(=O)NCCN1CCCC1,69,0,0,28,0.173 ,YES
GPSub_14,*NCCN4CCCC4,*C(=O)C(*)C(C)C,27,9,2,16,0.230 ,YES
GPSub_14,*NCCN4CCCC4,*C(=O)C(NC(=O)*)C(C)*,49,22,0,34,0.272 ,YES
GPSub_14,*NCCN4CCCC4,*C(=*)C(N*)C(C)C,29,5,2,16,0.230 ,YES
GPSub_14,*NCCN4CCCC4,*C5CCCN5C(=O)C(NC(=O)*)C(C)*,42,0,0,29,0.349 ,YES
GPSub_14,*NCCN4CCCC4,*C5CCCN5C(=O)C(NC(=O)*)*,57,0,0,32,0.151 ,YES
GPSub_3,CCN(C*)CCN*,CN1CCN(*)CC1,331,0,0,21,0.185 ,YES
GPSub_3,CCN(C*)CCN*,*Nc3ccccc3,162,34,99,94,0.179 ,YES
GPSub_3,CCN(C*)CCN*,CCN1CCN(*)CC1,431,0,0,37,0.157 ,YES
GPSub_3,CCN(C*)CCN*,CCN(CC)CCN*,2470,30,57,199,0.080 ,YES
GPSub_3,CCN(C*)CCN*,CCN(CC)CC*,5145,105,142,592,0.068 ,YES
GPSub_3,CCN(C*)CCN*,CCN(*)CCN(C)*,1281,14,7,79,0.130 ,YES
GPSub_3,CCN(C*)CCN*,*N(C*)CCN(C)*,1644,18,6,86,0.162 ,YES
GPSub_22,*Nc1cccc(NC*)c1,*CCNc1cccc(*)c1,214,4,4,0,0.152 ,YES
